Survey ID,Survey status,Invitation date,Responsedate,Last page seen,Survey Distribution Version,Survey Experience Score,Reason for Survey Experience,Comment
514614,COMPLETED,44102.80208,44119.53736,Page 3,A,4,Other (Please specify),Open text options
516327,COMPLETED,44102.79167,44119.53736,Page 10,A,4,Other (Please specify),privacy concern
510456,COMPLETED,44102.82292,44117.76183,Page 7,B,3,Other (Please specify),It is very general.  I am sure different departments have different issues.  I should be monitored more closely.
513471,COMPLETED,44102.82292,44117.72858,Page 7,B,4,Other (Please specify),Specified questions following a choice made for a previous question is apprecaited.
512882,COMPLETED,44102.8125,44117.70507,Page 10,A,3,Other (Please specify),"it's a typical survey, nothing special comparing to what we have completed in the past."
506842,COMPLETED,44102.79167,44117.70259,Page 7,B,5,Other (Please specify),Ability to give written answers and shorter survey
520906,COMPLETED,44102.82292,44117.63872,Page 7,B,4,Other (Please specify),Able to write what I want to address in the survey.
519182,COMPLETED,44102.82292,44117.54648,Page 7,B,3,Other (Please specify),Multiple choice questions are easier to answer.
507180,COMPLETED,44102.82292,44117.586,Page 10,A,3,Other (Please specify),I am not certain that having a good feeling is an accurate description for doing this survey
514554,COMPLETED,44102.82292,44117.49532,Page 10,A,4,Other (Please specify),"It allows for an explanation, along the way"
513735,COMPLETED,44102.79167,44117.38909,Page 7,B,3,Other (Please specify),The required 10 min to fill in the survey are a bit misleading given the nature of the open ended questions
521092,COMPLETED,44102.80208,44117.382,Page 10,A,3,Other (Please specify),How confidential are our answers????
519771,COMPLETED,44102.82292,44117.38295,Page 10,A,4,Other (Please specify),Like questions and my own free form answers at my discretion
513534,COMPLETED,44102.79167,44117.41447,Page 7,B,4,Other (Please specify),"Required by manager, hoping my voice really counts"
513933,COMPLETED,44102.82292,44117.37451,Page 7,B,3,Other (Please specify),NA
513587,COMPLETED,44102.82292,44117.33566,Page 10,A,3,Other (Please specify),"Some questions allow for broad interpretation. Employees may answer a certain way, but it will not be clear whether the feedback is directed toward immediate team, division or business platform."
522791,COMPLETED,44102.82292,44117.32899,Page 7,B,5,Other (Please specify),I think that more questions provides further insight for the bank to see what is on the minds of employees throughout the organization in a more standardized manner.  I think this format is more difficult to extrapolate the data.
514613,COMPLETED,44102.8125,44117.3233,Page 7,B,2,Other (Please specify),je trouve les questions vagues et ceci ne permet pas aux employés de donner leur opinion sur plusieurs sujets
515221,COMPLETED,44102.80208,44117.2351,Page 10,A,5,Other (Please specify),the question let me share how i real feel
